Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR102	 - 	DJ-Hardware/Controller	Portabler DJ Tisch  148x93x51 LxHxB	Portabler DJ Tisch  148x93x51 LxHxB	12.5	15	20	Portabler DJ Tisch  148x93x51 LxHxB	Portabler DJ Tisch  148x93x51 LxHxB	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	93	51	148	15.000	0
AR158	 - 	DJ-Hardware/Controller	Pioneer CDJ 900 Single Player	- CD Laufwerk CD, CD-RRW - USB Port für Sticks- MIDI Control  Recordbox- Serato DJScretch  Compatible- Jog Wheel- 230 Volt  26 VA	40	50	60	Pioneer CDJ 900 Single Player	- CD Laufwerk CD, CD-RRW - USB Port für Sticks- MIDI Control  Recordbox- Serato DJScretch  Compatible- Jog Wheel- 230 Volt  26 VA	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	115.6	305	385	4.000	26
AR260	 - 	DJ-Hardware/Controller	Portabler DJ Tisch 160x93x51 LxHxB	Portabler DJ Tisch 160x93x51 LxHxB	12.5	15	20	Portabler DJ Tisch 160x93x51 LxHxB	Portabler DJ Tisch 160x93x51 LxHxB	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR346	 - 	DJ-Hardware/Controller	Pioneer DJM 900 NXS II	4 CH DJ Mixer im Caseinkl. Netzkabel	40	50	60	Pioneer DJM 900 NXS	im Case	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	108	331	408	7.100	0
AR538	 - 	DJ-Hardware/Controller	DJM 2000 NX2	DJM 2000 NX2	50	60	70	DJM 2000 NX2	DJM 2000 NX2	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR564	 - 	DJ-Hardware/Controller	Technics SL1210 MK5 Plattenspieler mit Ortofon	Technics SL1210 MK5 Plattenspieler mit Ortofon "DJ S" System	 - 	45.00	 - 	Technics SL1210 MK5 Plattenspieler mit Ortofon	Technics SL1210 MK5 Plattenspieler mit Ortofon "DJ S" System	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR44	 - 	Drum	Sonor Drum Set, S-class 5 Teilig	Snare drum 14", Toms 10",12", 14" Bass 22", Bass drum pedal, drum chair 	115	125	150	Sonor Drum Set, S-class 5 Teilig	Snare drum 14", Toms 10",12", 14" Bass 22", Bass drum pedal, drum chair 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	60.000	0
AR45	 - 	Drum	Tama HH 75 W  Roadoro Hi-Hat Stand	Tama HH 75 W  Roadoro Hi-Hat Stand	20	25	30	Tama HH 75 W  Roadoro Hi-Hat Stand	Tama HH 75 W  Roadoro Hi-Hat Stand	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR46	 - 	Drum	Tama HC22W Straight Cymbal stand	Tama HC22W Straight Cymbal stand	10	15	20	Tama HC22W Straight Cymbal stand	Tama HC22W Straight Cymbal stand	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR386	 - 	Drum	the t.akustik DS4-4 Drum Shield	the t.akustik DS4-4 Drum Shield	 - 	25.00	 - 	the t.akustik DS4-4 Drum Shield	the t.akustik DS4-4 Drum Shield	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	1200	2400	 - 	20.080	0
AR426	 - 	Drum	# Schlagzeug Set	Gretsch Renown Maple 14" Snare, satin-black Tama Starclassic Maple 12" Rack-Tom, brown Tama Starclassic Maple 14" Rack-Tom, brown Tama Starclassic Maple 16" Rack-Tom, brown Tama Starclassic Maple 22" Bassdrum, brown 1 Paiste Signature Full Ride 20"  1 Paiste Signature Full Crash 19"  1 Paiste 2002 Medium Crash 18"  1 Paiste 2002 Medium HiHats 15" HP900PN Iron Cobra Power Glide Single Pedal Tama Drumhocker 1st Chair HT430B Tama Snare-Ständer HS800W	 - 	414.00	 - 	Schlagzeug Set	Gretsch Renown Maple 14" Snare, satin-black Tama Starclassic Maple 12" Rack-Tom, brown Tama Starclassic Maple 14" Rack-Tom, brown Tama Starclassic Maple 16" Rack-Tom, brown Tama Starclassic Maple 22" Bassdrum, brown 1 Paiste Signature Full Ride 20"  1 Paiste Signature Full Crash 19"  1 Paiste 2002 Medium Crash 18"  1 Paiste 2002 Medium HiHats 15" HP900PN Iron Cobra Power Glide Single Pedal Tama Drumhocker 1st Chair HT430B Tama Snare-Ständer HS800W	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR481	01723706118	Drum	Tama Starclassic Performer B/B 22"x20" Bassdrum	Tama Starclassic Performer B/B 22"x20" Bassdrum	30	35	40	Evs Backline	Tama Starclassic Performer B/B 22"x20" Bassdrum	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	25	 - 	 - 	 - 	 - 	10.000	0
AR482	 - 	Drum	Tama Starclassic Performer B/B 12"x7" Racktom 	Tama Starclassic Performer B/B 12"x7" Racktom 	15	17	20	Tama Starclassic Performer B/B 12"x7" Racktom 	Tama Starclassic Performer B/B 12"x7" Racktom 	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	8.000	0
AR483	 - 	Drum	Tama Starclassic Performer B/B 16"x14" Flootom	Tama Starclassic Performer B/B 16"x14" Flootom	20	25	300	Tama Starclassic Performer B/B 12	Tama Starclassic Performer B/B 12"x7" Racktom 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	15	 - 	 - 	 - 	 - 	8.000	0
AR485	 - 	Drum	Toms with Remo Pinstripe Clear	Toms with Remo Pinstripe Clear	 - 	 - 	 - 	Toms with Remo Pinstripe Clear	Toms with Remo Pinstripe Clear	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR486	 - 	Drum	Tama Tom/Cymbal Combi Stand HTC77W 	Tama Tom/Cymbal Combi Stand HTC77W 	3	4	5	Tama Tom/Cymbal Combi Stand HTC77W 	Tama Tom/Cymbal Combi Stand HTC77W 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	2.5	 - 	 - 	 - 	 - 	0.000	0
AR487	 - 	Drum	Tama Boom Cymbal Stand HC73BW	Tama Boom Cymbal Stand HC73BW	3.5	4	5	Tama Boom Cymbal Stand HC73BW	Tama Boom Cymbal Stand HC73BW	NULL	 - 	 - 	 - 	 - 	3	0	3	0	0	2.5	 - 	 - 	 - 	 - 	0.000	0
AR488	 - 	Drum	Tama Snare Stand Roadpro hs800wn 	Tama Snare Stand Roadpro hs800wn 	3.5	4	5	Tama Snare Stand Roadpro hs800wn 	Tama Snare Stand Roadpro hs800wn 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	2.5	 - 	 - 	 - 	 - 	0.000	0
AR489	 - 	Drum	Tama Drum Throne 3 Legs Round Saddle	Tama Drum Throne 3 Legs Round Saddle	6.5	7	8	Tama Drum Throne 3 Legs Round Saddle	Tama Drum Throne 3 Legs Round Saddle	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	5	 - 	 - 	 - 	 - 	0.000	0
AR490	 - 	Drum	Tama HiHat Stand Iron Cobra HH605 3Legs 	Tama HiHat Stand Iron Cobra HH605 3Legs 	6.5	7	8	Tama HiHat Stand Iron Cobra HH605 3Legs 	Tama HiHat Stand Iron Cobra HH605 3Legs 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	5	 - 	 - 	 - 	 - 	0.000	0
AR491	 - 	Drum	Tama Single Kick Pedal Iron Cobra 	Tama Single Kick Pedal Iron Cobra 	6.5	7	8	Tama Single Kick Pedal Iron Cobra 	Tama Single Kick Pedal Iron Cobra 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	5	 - 	 - 	 - 	 - 	0.000	0
AR492	 - 	Drum	Tama Floortom Legs (3x) 	Tama Floortom Legs (3x) 	 - 	 - 	 - 	Tama Floortom Legs (3x) 	Tama Floortom Legs (3x) 	NULL	 - 	 - 	 - 	 - 	3	3	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR577	 - 	Drum	Sonor Delite 22"x17,5" Bassdrum 	Sonor Delite 22"x17,5" Bassdrum 	 - 	36	 - 	Sonor Delite 22"x17,5" Bassdrum 	Sonor Delite 22"x17,5" Bassdrum 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR578	 - 	Drum	Sonor Delite 10"x8" Racktom	Sonor Delite 10"x8" Racktom	 - 	15	 - 	Sonor Delite 10"x8" Racktom	Sonor Delite 10"x8" Racktom	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR579	 - 	Drum	Sonor Delite 12"x9" Racktom	Sonor Delite 12"x9" Racktom	 - 	15	 - 	Sonor Delite 12"x9" Racktom	Sonor Delite 12"x9" Racktom	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	9.6	 - 	 - 	 - 	 - 	0.000	0
AR580	 - 	Drum	Sonor Delite 16"x16" Floortom	Sonor Delite 16"x16" Floortom	 - 	24	 - 	Sonor Delite 16"x16" Floortom	Sonor Delite 16"x16" Floortom	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	14.8	 - 	 - 	 - 	 - 	0.000	0
AR581	 - 	Drum	Sonor Delite 14"x6" Snare	Sonor Delite 14"x6" Snare	 - 	30	 - 	Sonor Delite 14"x6" Snare	Sonor Delite 14"x6" Snare	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	20	 - 	 - 	 - 	 - 	0.000	0
AR582	 - 	Drum	Bd with Remo P3 Coated, Front with hole, Muffling 	Bd with Remo P3 Coated, Front with hole, Muffling inside	 - 	 - 	 - 	Bd with Remo P3 Coated, Front with hole, Muffling 	Bd with Remo P3 Coated, Front with hole, Muffling inside	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR583	 - 	Drum	Toms with Remo Emperor Clear	Toms with Remo Emperor Clear	 - 	 - 	 - 	Toms with Remo Emperor Clear	Toms with Remo Emperor Clear	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR584	 - 	Drum	Snare with Remo Emperor Coated	Snare with Remo Emperor Coated	 - 	 - 	 - 	Snare with Remo Emperor Coated	Snare with Remo Emperor Coated	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR585	 - 	Drum	Tama Boom Cymbal Stand HC83BW	Tama Boom Cymbal Stand HC83BW	 - 	4	 - 	Tama Boom Cymbal Stand HC83BW	Tama Boom Cymbal Stand HC83BW	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	2	 - 	 - 	 - 	 - 	0.000	0
AR586	 - 	Drum	Tama Snare Stand Roadpro hs800wn	Tama Snare Stand Roadpro hs800wn	 - 	4	 - 	Tama Snare Stand Roadpro hs800wn	Tama Snare Stand Roadpro hs800wn	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	2.5	 - 	 - 	 - 	 - 	0.000	0
AR588	 - 	Drum	Yamaha HiHat Stand 3Legs HS850	Yamaha HiHat Stand 3Legs HS850	 - 	8	 - 	Yamaha HiHat Stand 3Legs HS850	Yamaha HiHat Stand 3Legs HS850	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	4	 - 	 - 	 - 	 - 	0.000	0
AR589	 - 	Drum	Yamaha Kick Pedal FP9500 ChainDrive	Yamaha Kick Pedal FP9500 ChainDrive	 - 	8	 - 	Yamaha Kick Pedal FP9500 ChainDrive	Yamaha Kick Pedal FP9500 ChainDrive	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	4	 - 	 - 	 - 	 - 	0.000	0
AR590	 - 	Drum	Sonor Tom Arm 	Sonor Tom Arm 	 - 	 - 	 - 	Sonor Tom Arm 	Sonor Tom Arm 	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR591	 - 	Drum	Sonor Double Tom Arm Holder	Sonor Double Tom Arm Holder	 - 	 - 	 - 	Sonor Double Tom Arm Holder	Sonor Double Tom Arm Holder	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR592	 - 	Drum	Sonor Delite Floortom Legs (3x) 	Sonor Delite Floortom Legs (3x) 	 - 	 - 	 - 	Sonor Delite Floortom Legs (3x) 	Sonor Delite Floortom Legs (3x) 	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR593	 - 	Drum	Drum Key	Drum Key	 - 	 - 	 - 	Drum Key	Drum Key	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR594	 - 	Drum	Drum Carpet 2x3m	Drum Carpet 2x3m	 - 	 - 	 - 	Drum Carpet 2x3m	Drum Carpet 2x3m	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR595	 - 	Drum	Clearsonic A5-5 Drum Shield 	Clearsonic A5-5 Drum Shield  5-Segment Panel Schall- und Soundabschirmung von Drumkits, Verstärkern oder Instrumenten	 - 	60	 - 	Clearsonic A5-5 Drum Shield 	Clearsonic A5-5 Drum Shield  5-Segment Panel Schall- und Soundabschirmung von Drumkits, Verstärkern oder Instrumenten	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	24	 - 	 - 	 - 	 - 	0.000	0
AR598	 - 	Drum	Paiste Signature Full Ride 20" 	Paiste Signature Full Ride 20" 	 - 	25	 - 	Paiste Signature Full Ride 20" 	Paiste Signature Full Ride 20" 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	16	 - 	 - 	 - 	 - 	0.000	0
AR599	 - 	Drum	Paiste Signature Full Crash 19"	Paiste Signature Full Crash 19"	 - 	24	 - 	Paiste Signature Full Crash 19"	Paiste Signature Full Crash 19"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	12	 - 	 - 	 - 	 - 	0.000	0
AR600	 - 	Drum	Paiste Signature Full Crash 18"	Paiste Signature Full Crash 18"	 - 	24	 - 	Paiste Signature Full Crash 18"	Paiste Signature Full Crash 18"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	12	 - 	 - 	 - 	 - 	0.000	0
AR601	 - 	Drum	Paiste Signature Full Crash 17"	Paiste Signature Full Crash 17"	 - 	24	 - 	Paiste Signature Full Crash 17"	Paiste Signature Full Crash 17"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	12	 - 	 - 	 - 	 - 	0.000	0
AR602	 - 	Drum	Paiste Signature Medium HiHats 14"	Paiste Signature Medium HiHats 14"	 - 	28	 - 	Paiste Signature Medium HiHats 14"	Paiste Signature Medium HiHats 14"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	16	 - 	 - 	 - 	 - 	0.000	0
AR603	 - 	Drum	Paiste Signature Heavy China 18"	Paiste Signature Heavy China 18"	 - 	24	 - 	Paiste Signature Heavy China 18"	Paiste Signature Heavy China 18"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	12	 - 	 - 	 - 	 - 	0.000	0
AR604	 - 	Drum	Paiste Signature Reflector Splash 10"	Paiste Signature Reflector Splash 10"	 - 	12	 - 	Paiste Signature Reflector Splash 10"	Paiste Signature Reflector Splash 10"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	6.8	 - 	 - 	 - 	 - 	0.000	0
AR630	 - 	Drum	Drum Set Yamaha	1 Yamaha Maple Custom Absolut 22x16 Bassdrum  1 Yamaha Maple Custom Absolut 10"x7" Racktom  1 Yamaha Maple Custom Absolut 12"x8" Racktom  1 Yamaha Maple Custom Absolut 14"x13" Floortom  1 Yamaha Maple Custom Absolut 16"x15" Floortom   1 Yamaha Recording Custom RLS1455 14"x5,5" Snare (Steel) Heads 1 Bd with Remo P3 Clear, Front with hole, Muffling inside 1 Toms with Remoe Emperor Clear/ Coated 1 Snares with Remo Ambassador Coated 	 - 	450	 - 	Drum Set Yamaha	1 Yamaha Maple Custom Absolut 22x16 Bassdrum  1 Yamaha Maple Custom Absolut 10"x7" Racktom  1 Yamaha Maple Custom Absolut 12"x8" Racktom  1 Yamaha Maple Custom Absolut 14"x13" Floortom  1 Yamaha Maple Custom Absolut 16"x15" Floortom  1 Yamaha Absolute Hybrid Maple AMS1460 14"x6" Snare  1 Yamaha Recording Custom RLS1455 14"x5,5" Snare (Steel) Heads 1 Bd with Remo P3 Clear, Front with hole, Muffling inside 1 Toms with Remoe Emperor Clear/ Coated 1 Snares with Remo Ambassador Coated	NULL	 - 	 - 	 - 	100	1	0	1	0	0	 - 	100	90	 - 	 - 	30.000	0
AR631	 - 	Drum	# Remo Set	Bd with Remo P3, Front with hole, Muffling inside Toms with Remo Ambassador Coated Snare with Remo Ambassador Coated	 - 	 - 	 - 	Remo Set	Bd with Remo P3, Front with hole, Muffling inside Toms with Remo Ambassador Coated Snare with Remo Ambassador Coated	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	2.000	0
AR633	 - 	Drum	Yamaha  Extras Drum	Yamaha Tom Arm Kurz CL945B  Yamaha Tripod Tom Arm Holder Long  Yamaha Floortom Leg Long (3x)  Drum Key  Drum Carpet 2x2m	 - 	6	 - 	Yamaha  Extras Drum	Yamaha Tom Arm Kurz CL945B  Yamaha Tripod Tom Arm Holder Long  Yamaha Floortom Leg Long (3x)  Drum Key  Drum Carpet 2x2m	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR634	 - 	Drum	Istanbul Cymbals	1 x Istanbul Agop Traditional Medium Ride 22"  1 x Istanbul Agop Traditional Medium Ride 20" 1 1 x Istanbul Agop Traditional Medium Crash 18"  1 x Istanbul Agop Traditional Regular HiHats 14"	 - 	150	 - 	Istanbul Cymbals	1 x Istanbul Agop Traditional Medium Ride 22"  1 x Istanbul Agop Traditional Medium Ride 20" 1 1 x Istanbul Agop Traditional Medium Crash 18"  1 x Istanbul Agop Traditional Regular HiHats 14"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	75	 - 	 - 	 - 	 - 	10.000	0
AR637	 - 	Drum	Drum Throne / Hocker rundfuÃŸ	Drum Throne / Hocker rundfuß	6.5	7	8	Drum Throne / Hocker rundfuÃŸ	Drum Throne / Hocker rundfuß	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	5	 - 	 - 	 - 	 - 	0.000	0
AR638	 - 	Drum	MEINL CHIMES Single 33 BARS 	MEINL CHIMES Single 33 BARS  Meinl Tmch Boom Chimes Stand 	5	7	10	MEINL CHIMES Single 33 BARS 	MEINL CHIMES Single 33 BARS 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR681	 - 	Drum	Hardware Drum Yamaha	9 Yamaha Boom Cymbal Stand CS865  2 Yamaha Snare Stand SS950  1 Yamaha Drum Throne DS950 1 Yamaha HiHat Stand 3Legs HS1200T  	55	60	65	Hardware Drum Yamaha	9 Yamaha Boom Cymbal Stand CS865  2 Yamaha Snare Stand SS950  1 Yamaha Drum Throne DS950 1 Yamaha HiHat Stand 3Legs HS1200T  2 Yamaha Kick Pedal FP9500 ChainDrive 	NULL	 - 	 - 	 - 	38	1	0	1	0	0	38	38	 - 	 - 	 - 	0.000	0
AR682	 - 	Drum	Drum Extras	2 Yamaha Tom Arm Kurz CL945B  1 Yamaha Tripod Tom Arm Holder Long  2 Yamaha Floortom Leg Long (3x)  2 Pearl Multi Clamp ADP-20  2 Pearl Multi Clamp AX-25L  1 Drum Carpet 2x3m  1 Drum Key 	15	17	20	Drum Extras	2 Yamaha Tom Arm Kurz CL945B  1 Yamaha Tripod Tom Arm Holder Long  2 Yamaha Floortom Leg Long (3x)  2 Pearl Multi Clamp ADP-20  2 Pearl Multi Clamp AX-25L  1 Drum Carpet 2x3m  1 Drum Key 	NULL	 - 	 - 	 - 	10	1	0	1	0	0	 - 	10	 - 	 - 	 - 	0.000	0
AR683	 - 	Drum	# Cymbals Sabian Set	1 Sabian HHX Complex Medium Ride 22"  1 Sabian HHX Complex Thin Crash 17" 1 Sabian HHX Complex Thin Crash 18"  1 Sabian HHX Complex Thin Crash 19"  1 Sabian HHX Complex O-Zone China 19"  1 Sabian AA Chinese 18"  1 Sabian HHX Complex Medium HiHats 15"  1 Sabian Chopper 10"  1 Sabian HH Splash 10"  1 Sabian AA Splash 10" 	 - 	 - 	 - 	Cymbals Sabian Set	1 Sabian HHX Complex Medium Ride 22"  1 Sabian HHX Complex Thin Crash 17" 1 Sabian HHX Complex Thin Crash 18"  1 Sabian HHX Complex Thin Crash 19"  1 Sabian HHX Complex O-Zone China 19"  1 Sabian AA Chinese 18"  1 Sabian HHX Complex Medium HiHats 15"  1 Sabian Chopper 10"  1 Sabian HH Splash 10"  1 Sabian AA Splash 10" 	NULL	 - 	140	 - 	115	1	1	0	0	0	 - 	115	 - 	 - 	 - 	0.000	0
AR722	 - 	Drum	Tama SuperStar SET	Tama SuperStar SET     20" x 16" Bass Drum     10" x 07" Tom     12" x 08" Tom     14" x 14" Standtom     14" x 05" Snare Becken Set  Crash 17" Zildjian,  Ride Sabian Artisan 17",   China 20" Sabian Hardware Set	 - 	200	 - 	Tama SuperStar SET	Tama SuperStar SET     20" x 16" Bass Drum     10" x 07" Tom     12" x 08" Tom     14" x 14" Standtom     14" x 05" Snare Becken Set  Crash 17" Zildjian,  Ride Sabian Artisan 17",   China 20" Sabian Hardware Set	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	100.000	0
AR735	 - 	Drum	Tama Starclassic Performer B/B 14"x12" Floortom	Tama Starclassic Performer B/B 14"x12" Floortom	25	28	30	Tama Starclassic Performer B/B 14"x12" Floortom	Tama Starclassic Performer B/B 14"x12" Floortom	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR736	 - 	Drum	Tama 14"x6.5" Maple Snare	Tama 14"x6.5" Maple Snare	20	25	30	Tama 14"x6.5" Maple Snare	Tama 14"x6.5" Maple Snare	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR737	 - 	Drum	Heads	Bd with Remo P3 Clear or Coated Toms with Remo Pinstripe Clear Snare with Remo Ambassador Coated	 - 	 - 	 - 	Heads	Bd with Remo P3 Clear or Coated Toms with Remo Pinstripe Clear Snare with Remo Ambassador Coated	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR738	 - 	Drum	Sabian HHX Legacy Heavy Ride 22â€œ	Sabian HHX Legacy Heavy Ride 22“	 - 	 - 	 - 	Sabian HHX Legacy Heavy Ride 22â€œ	Sabian HHX Legacy Heavy Ride 22“	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR739	 - 	Drum	Sabian AAX X-Plosion Crash 19" 	Sabian AAX X-Plosion Crash 19" 	 - 	20	 - 	Sabian AAX X-Plosion Crash 19" 	Sabian AAX X-Plosion Crash 19" 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR740	 - 	Drum	Sabian AAX Dark Crash 18â€œ	Sabian AAX Dark Crash 18“	 - 	17.5	 - 	Sabian AAX Dark Crash 18â€œ	Sabian AAX Dark Crash 18“	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR741	 - 	Drum	Sabian HHX X-Plosioin Crash 17"	Sabian HHX X-Plosioin Crash 17"	 - 	20	 - 	Sabian HHX X-Plosioin Crash 17"	Sabian HHX X-Plosioin Crash 17"	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR742	 - 	Drum	Sabian HHX Groove HiHats 14"	Sabian HHX Groove HiHats 14"	 - 	25	 - 	Sabian HHX Groove HiHats 14"	Sabian HHX Groove HiHats 14"	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR743	 - 	Drum	Tama Snare Stand Roadpro hs700wn	Tama Snare Stand Roadpro hs700wn	 - 	5	 - 	Tama Snare Stand Roadpro hs700wn	Tama Snare Stand Roadpro hs700wn	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR744	 - 	Drum	Tama HiHat Stand SpeedCobra 2 Legs 	Tama HiHat Stand SpeedCobra 2 Legs 	 - 	7	 - 	Tama HiHat Stand SpeedCobra 2 Legs 	Tama HiHat Stand SpeedCobra 2 Legs 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR771	 - 	Drum	DW Collector's Series Purple Heart Drum Set	DW  Collector's Series Purple Heart Drum Set Kit in Broken Glass 13" x 6,5" Snare  22" x 18" Bass Drum 10" x 08"  Tom Tom 12" x 09"  Tom Tom 14" x  12" Tom Tom 16" x 14"  Tom Tom 3 x DW Tom/ Cymbalstand 9934 1 x 5000 Heavy Duty Delta 3-Leg HiHat Stand Kick Pedal Ironcobra 200 Drum Carpet 2x3m Drum Key   	110	350	170	DW Collector's Series Purple Heart Drum Set	DW  Collector's Series Purple Heart Drum Set Kit in Broken Glass 13" x 6,5" Snare  22" x 18" Bass Drum 10" x 08"  Tom Tom 12" x 09"  Tom Tom 14" x  12" Tom Tom 16" x 14"  Tom Tom 3 x DW Tom/ Cymbalstand 9934 1 x 5000 Heavy Duty Delta 3-Leg HiHat Stand Kick Pedal Ironcobra 200 Drum Carpet 2x3m Drum Key   	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	0.0	 - 	 - 	 - 	 - 	0.000	0
AR772	 - 	Drum	DW Collector's Series Maple Bass Drum - 22x18"	DW Collector's Series Maple Bass Drum - 22x18" Brocken Glas	22	30	40	DW Collector's Series Maple Bass Drum - 22x18"	DW Collector's Series Maple Bass Drum - 22x18" Brocken Glas	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR958	 - 	Drum	Zildjian Custom Dark HH 14"	Zildjian Custom Dark HH 14"	0.0	25	0.0	Zildjian Custom Dark HH 14"	Zildjian Custom Dark HH 14"	NULL	0.0	0.0	0.0	 - 	1	0	1	0	0	15	 - 	0.0	0.0	0.0	0.000	0
